#separator:tab
#html:true
If a Pod encounters a problem it ... and a ... starts to replace it.	"<ol class=""markdown-tight""><li>terminates</li><li>new instance</li></ol>This strategy promotes:<ul class=""markdown-tight""><li>flexibility</li><li>resilience</li><li>immutability</li></ul>"
<div>How to get a list of your running pods?</div>	"<code>$&amp;nbsp;&lt;span style=""white-space: pre-wrap;""&gt;kubectl get pods</code>"
How do you print the logs of a pod?<br>(what the container is printing to stdout)	<pre><code>`$ kubectl logs PODNAME`</code></pre>
What is the cmd to kill a pod?	"<div>`$&nbsp;<span style=""white-space: pre-wrap;"">kubectl delete pod PODNAME`</span></div><div><span style=""white-space: pre-wrap;""><br></span></div>"
How to get a list of the running pods?	"<code>$&amp;nbsp;&lt;span style=""white-space: pre-wrap;""&gt;kubectl get pods&lt;/span&gt;</code>"
In `kubectl get pods`, how can you add more info, like the IP, when you list the pods?&nbsp;	"<pre><code>Using the option `-o wide`:</code></pre>
<pre><code>`$ kubectl get pods -o wide`
</code></pre>"
How to list all the contexts:	<code>$ kubectl config get-contexts</code>
How to show the current context in your k8s configuration?	<code>kubectl config current-context</code>
How to switch to a diffent context?	<code>kubectl config use-context CONTEXT-NAME</code>
What is a context in k8s?	"<div>A context in Kubernetes is a named grouping of parameters that define:</div>
<ul><li><strong>Cluster</strong>: The API server to interact with.</li><li><strong>User</strong>: The credentials to authenticate.</li><li><strong>Namespace</strong>: The default namespace for commands.</li></ul>
<div>
</div>"
What's the most common way to manage env vars in k8s?	ConfigMaps
What's the purpose of ConfigMap?	"ConfigMaps allow us to decouple our configurations from our container 
images,<br>so that we don't need to rebuild our 
images every time we change a configuration value."
Are ConfigMaps secure?	"No, ConfigMaps aren't encrypted, and they can be accessed by anyone with access to the cluster.
They are good to store things like these:
<ul><li>Ports</li><li>URLs of other services</li><li>Feature flags</li></ul>"
What are the four types of services in k8s?	"They are:
<ul><li>ClusterIP</li><li>NodePort</li><li>LoadBalancer</li><li>ExternalName</li></ul>
<div>
</div>"
What is the default service type?	ClusterIP
The ... Service exposes the Service within the cluster. It can only be accessed internally.	ClusterIP
The service type ... exposes the Service on a static port on each node's IP address, making it accessible externally.	NodePort
The service type ... provisions an external load balancer (if supported by the cloud provider) and exposes the Service externally.	LoadBalancer
The [...] maps the Service to an external DNS name, without proxying traffic to the cluster.	ExternalName
When should you use a ClusterIP in k8s?	When you want to expose a service only within the cluster, without making it accessible from outside the cluster.
A ClusterIP (for example) service connects with <strong>multiple Pods</strong> that match the same ... .	Selector
How does an Ingress route traffic to different services?	"An Ingress uses rules to route traffic based on:<ul><li>Hostnames (e.g., <code>app.example.com</code>).</li><li>URL paths (e.g., <code>/api</code>, <code>/web</code>).</li></ul><div>
</div>"
Where are the Ingress rules defined?	The Ingress rules are defined in the `<code>spec/rules`</code> section of the Ingress YAML resources.<br>
